rnn_type,dropout,hidden_size,num_layers,bidirectional,Train Loss,Valid Loss,Valid Accuracy,Valid F1,Test Loss,Test Accuracy,Test F1
LSTM,0.5,200,1,True,0.5836831950372265,0.5816247484071658,0.6427237781438769,0.4268241839502128,0.5165003014897759,0.7201834862385321,0.6737967914438502
GRU,0.5,100,1,True,0.6494504986545457,0.6424055527061061,0.5900054914881933,0.2853671502544287,0.5612493636594578,0.7201834862385321,0.6763925729442971
GRU,0.3,100,1,True,0.6494504986545457,0.6424055527061061,0.5900054914881933,0.2853671502544287,0.5612493636594578,0.7201834862385321,0.6763925729442971
LSTM,0.5,150,2,False,0.5842097731916587,0.6045250843457186,0.6400878638110928,0.4217599993936427,0.6030316250822083,0.7190366972477065,0.6454413892908828
GRU,0.3,100,3,True,0.5916405265232385,0.6096194966813254,0.6396485447556287,0.416750176609388,0.5721738122572954,0.716743119266055,0.6675639300134589
GRU,0.5,100,2,True,0.6428471619495049,0.640920532718708,0.5891268533772653,0.2853786183491943,0.56995817493986,0.7144495412844036,0.6745098039215688
GRU,0.5,150,3,False,0.5723786362991905,0.6401278981460574,0.6316309719934102,0.4185996766181197,0.6099954243241386,0.7121559633027523,0.6537931034482759
LSTM,0.3,200,2,False,0.5561350806380196,0.5733043000183471,0.6736957715540911,0.5339925273271143,0.5514720821414482,0.7121559633027523,0.6225563909774436
RNN,0.5,200,3,False,0.6689269238902676,0.657311448112863,0.5771554091158704,0.2700880226719376,0.5785997804592956,0.7098623853211009,0.665785997357992
LSTM,0.0,100,3,True,0.5745924758746328,0.5836034132116804,0.684568918176826,0.5715675173731575,0.5876663802191615,0.7098623853211009,0.6401137980085347
RNN,0.5,100,2,True,0.6632395692135333,0.652549430157969,0.5816584294343767,0.278680230223531,0.5839941755614497,0.7075688073394495,0.7138047138047138
GRU,0.3,100,2,True,0.6397607722590047,0.646272689788068,0.5838550247116969,0.2760293146167457,0.5818893328647722,0.7075688073394495,0.6604527296937417
LSTM,0.5,200,2,True,0.5753819848809923,0.598720934034371,0.6754530477759474,0.5390298354343901,0.5686637856574221,0.7064220183486238,0.6404494382022471
LSTM,0.0,200,2,False,0.5484320588650242,0.5785422438969376,0.6700713893465129,0.5247307903300277,0.5637739890001037,0.7064220183486238,0.607361963190184
GRU,0.3,150,2,False,0.5785085225297559,0.6383377029962553,0.6322899505766062,0.4044039874585447,0.6809906001329761,0.7064220183486238,0.6268221574344024
GRU,0.3,100,3,False,0.5765085006776494,0.6391498636515414,0.6321801208127402,0.4043210619402415,0.6377767367627133,0.7064220183486238,0.6353276353276354
GRU,0.5,200,1,False,0.5738657592353733,0.6262665080446038,0.6216364634816035,0.3787410094446642,0.5838040850040588,0.7041284403669725,0.6271676300578034
GRU,0.0,200,1,False,0.5738657592353733,0.6262665080446038,0.6216364634816035,0.3787410094446642,0.5838040850040588,0.7041284403669725,0.6271676300578034
RNN,0.0,100,3,False,0.6356196804530061,0.6466835538871953,0.6069192751235585,0.3689387413601949,0.5793751305477186,0.7041284403669725,0.6943127962085309
RNN,0.3,100,2,False,0.6714118784473788,0.6633713625167889,0.5705656232839099,0.2653553924823034,0.5973591071299531,0.7041284403669725,0.6504065040650406
